"calday","Tmean_10yr"
"01-01",15.315
"01-02",15.915
"01-03",14.855
"01-04",14.35
"01-05",15.265
"01-06",15.715
"01-07",14.205
"01-08",13.9
"01-09",14.015
"01-10",15.62
"01-11",15.475
"01-12",15.87
"01-13",15.325
"01-14",14.305
"01-15",14.775
"01-16",15.6475
"01-17",16.06
"01-18",14.91
"01-19",15.21
"01-20",14.495
"01-21",15.375
"01-22",14.465
"01-23",15.8
"01-24",16.03
"01-25",16.365
"01-26",16.36
"01-27",15.92
"01-28",15.375
"01-29",17.07
"01-30",16.1
"01-31",17.53
"02-01",18.17
"02-02",15.945
"02-03",15.47
"02-04",15.795
"02-05",14.985
"02-06",15
"02-07",14.515
"02-08",14.665
"02-09",14.885
"02-10",15.41
"02-11",16.28
"02-12",15.555
"02-13",15.385
"02-14",14.485
"02-15",14.78
"02-16",15.12
"02-17",16.17
"02-18",16.515
"02-19",16.88
"02-20",16.205
"02-21",16.855
"02-22",16.17
"02-23",13.645
"02-24",14.24
"02-25",15.63
"02-26",14.555
"02-27",15.145
"02-28",15.14
"02-29",16.1
"03-01",13.785
"03-02",15.09
"03-03",15.175
"03-04",14.91
"03-05",14.485
"03-06",15.86
"03-07",14.68
"03-08",13.98
"03-09",13.045
"03-10",14.525
"03-11",14.375
"03-12",12.935
"03-13",14.37
"03-14",14.63
"03-15",15.2
"03-16",13.535
"03-17",12.675
"03-18",13.415
"03-19",13.5
"03-20",14.675
"03-21",14.965
"03-22",13.92
"03-23",13.835
"03-24",13.47
"03-25",14.715
"03-26",14.17
"03-27",14.845
"03-28",14.065
"03-29",13.855
"03-30",14.395
"03-31",15.04
"04-01",14.6
"04-02",13.776
"04-03",13.682
"04-04",13.293
"04-05",12.974
"04-06",12.27
"04-07",12.145
"04-08",12.01
"04-09",12.78
"04-10",12.57
"04-11",11.83
"04-12",12.875
"04-13",11.2516666666667
"04-14",11.5283333333333
"04-15",11.5
"04-16",12.11
"04-17",11.51
"04-18",10.04
"04-19",10.215
"04-20",11.83
"04-21",11.87
"04-22",11.795
"04-23",12.425
"04-24",12.955
"04-25",12.455
"04-26",12.92
"04-27",13.445
"04-28",11.77
"04-29",11.705
"04-30",10.795
"05-01",9.645
"05-02",10.82
"05-03",10.665
"05-04",11.74
"05-05",12.39
"05-06",11.42
"05-07",11.48
"05-08",12.435
"05-09",11.525
"05-10",11.28
"05-11",11.155
"05-12",12.245
"05-13",10.715
"05-14",10.26
"05-15",10.765
"05-16",9.985
"05-17",9.205
"05-18",9.91
"05-19",9.965
"05-20",9.285
"05-21",9.75
"05-22",9.235
"05-23",9.6
"05-24",9.085
"05-25",8.89
"05-26",8.68
"05-27",8.185
"05-28",8.34
"05-29",7.3
"05-30",7.655
"05-31",8.24875
"06-01",8.9075
"06-02",9.76125
"06-03",9.14
"06-04",7.735
"06-05",6.55
"06-06",6.955
"06-07",6.875
"06-08",7.89
"06-09",8.495
"06-10",8.79
"06-11",8.61
"06-12",8.425
"06-13",8.135
"06-14",8.1
"06-15",7.985
"06-16",7.955
"06-17",7.965
"06-18",8.555
"06-19",7.43
"06-20",6.505
"06-21",6.57
"06-22",6.805
"06-23",6.135
"06-24",6.84
"06-25",7.515
"06-26",7.91
"06-27",8.04
"06-28",8.13
"06-29",7.35
"06-30",7.18
"07-01",7.67
"07-02",7.175
"07-03",7.515
"07-04",7.245
"07-05",7.99
"07-06",7.44
"07-07",6.84
"07-08",7.375
"07-09",5.865
"07-10",6.92
"07-11",6.645
"07-12",7.08
"07-13",6.24
"07-14",6.935
"07-15",6.56
"07-16",7.385
"07-17",6.965
"07-18",7.175
"07-19",7.795
"07-20",7.66
"07-21",7.865
"07-22",8.005
"07-23",6.855
"07-24",7.47
"07-25",6.92
"07-26",6.9
"07-27",8.06
"07-28",7.965
"07-29",8.575
"07-30",7.295
"07-31",7.67
"08-01",8.86
"08-02",9.375
"08-03",8.75
"08-04",8.0525
"08-05",6.845
"08-06",7.595
"08-07",7.67
"08-08",7.37
"08-09",6.88
"08-10",7.235
"08-11",7.175
"08-12",7.38
"08-13",7.09
"08-14",7.41
"08-15",6.705
"08-16",8.315
"08-17",8.345
"08-18",7.965
"08-19",7.635
"08-20",7.78
"08-21",7.88
"08-22",7.815
"08-23",8.89
"08-24",8.82
"08-25",8.935
"08-26",9.3625
"08-27",9.68
"08-28",9.14
"08-29",9.3875
"08-30",8.875
"08-31",9.02
"09-01",8.585
"09-02",7.7025
"09-03",8.37
"09-04",9.165
"09-05",8.925
"09-06",9.635
"09-07",9.905
"09-08",9.805
"09-09",8.29
"09-10",9.19
"09-11",9.325
"09-12",8.795
"09-13",9.735
"09-14",8.425
"09-15",10.37
"09-16",10.3
"09-17",10.885
"09-18",8.96
"09-19",9.145
"09-20",9.615
"09-21",8.21
"09-22",9.035
"09-23",10.63
"09-24",10.95
"09-25",10.24
"09-26",9.68
"09-27",9.715
"09-28",9.85166666666667
"09-29",10.3333333333333
"09-30",10.23
"10-01",10.895
"10-02",11.87
"10-03",11.52
"10-04",11.145
"10-05",11.095
"10-06",11.375
"10-07",10.835
"10-08",10.92
"10-09",10.01
"10-10",10.075
"10-11",10.965
"10-12",10.995
"10-13",10.095
"10-14",11.145
"10-15",10.095
"10-16",10.075
"10-17",12.53
"10-18",12.73
"10-19",10.215
"10-20",11.305
"10-21",13.115
"10-22",11.735
"10-23",10.7
"10-24",11.495
"10-25",13.4
"10-26",11.04
"10-27",11.385
"10-28",10.97
"10-29",10.715
"10-30",11
"10-31",12.31
"11-01",12.82
"11-02",13.175
"11-03",14.395
"11-04",12.2
"11-05",11.94
"11-06",11.635
"11-07",11.215
"11-08",12.965
"11-09",12.705
"11-10",13.23
"11-11",12.335
"11-12",11.11
"11-13",10.585
"11-14",11.83
"11-15",13.095
"11-16",12.84
"11-17",12.445
"11-18",11.71
"11-19",10.955
"11-20",12.64
"11-21",13.65
"11-22",12.56
"11-23",14.03
"11-24",13.615
"11-25",13.45
"11-26",14.695
"11-27",14.285
"11-28",14.065
"11-29",13.37
"11-30",12.505
"12-01",12.6
"12-02",14.675
"12-03",16.075
"12-04",15.24
"12-05",14.76
"12-06",14.39
"12-07",14.48
"12-08",13.88
"12-09",14.77
"12-10",15.655
"12-11",14.51
"12-12",14.1
"12-13",13.585
"12-14",13.16
"12-15",15.735
"12-16",14.66
"12-17",14.585
"12-18",14.005
"12-19",14.06
"12-20",13.615
"12-21",14.28
"12-22",14.82
"12-23",13.46
"12-24",14.76
"12-25",15.76
"12-26",15.13
"12-27",14.69
"12-28",15.32
"12-29",14.915
"12-30",15.73
"12-31",14.47
